SKU,Modelo,Gusto,Precio,preciodescuento,semanalidad,frase,img3/4d,img3/4i,imgfrentes,imgfrente,Caracteristicas/motor/Tipodemotor,Caracteristicas/motor/Cilindrada,Caracteristicas/motor/Velocidadmaxima,Caracteristicas/motor/Potenciamaxima,Caracteristicas/motor/Torquemaximo,Caracteristicas/motor/Rendimientodecombustible,Caracteristicas/motor/Sistemadearranque,Caracteristicas/motor/Sistemadeignicion,Caracteristicas/motor/TransmisionFinal,Caracteristicas/motor/Capacidaddecombustible,Caracteristicas/motor/Rendimientodecombustibleportanque,Caracteristicas/motor/Capacidaddeaceite,Caracteristicas/motor/Tipodeenfriamiento,Caracteristicas/chasis/Suspensiondelantera,Caracteristicas/chasis/Suspensiontrasera,Caracteristicas/chasis/Frenosdelanteros,Caracteristicas/chasis/Frenostraseros,Caracteristicas/chasis/Llantadelantera,Caracteristicas/chasis/Llantatrasera,Caracteristicas/dimensionPeso/Largototal,Caracteristicas/dimensionPeso/Anchototal,Caracteristicas/dimensionPeso/Altototal,Caracteristicas/dimensionPeso/Alturadelasiento,Caracteristicas/dimensionPeso/Capacidaddecarga,Caracteristicas/dimensionPeso/Pesoenseco,video,nombre archivo video,Caracteristicas/dimensionPeso/dimensionPeso,Caracteristicas/motor/Cambios,Caracteristicas/motor/Autonomía,Caracteristicas/motor/Tiempoderecarga,Caracteristicas/motor/TipoBateria,Caracteristicas/motor/CapacidadAh,Caracteristicas/chasis/Rodada,Caracteristicas/chasis/TamanoRin,Caracteristicas/chasis/Rin,Caracteristicas/dimensionPeso/Pesototal,Caracteristicas/dimensionPeso/Distanciaentreejes
34002538,V200,ADVENTURE,"$61,110.00","$49,999.00",$589.00,Libertad sin fronteras,/imagenes/italika/motos/1_V200/optimizadas/V200_3_4_der.png,/imagenes/italika/motos/1_V200/optimizadas/V200_3_4_izq.png,/imagenes/italika/motos/1_V200/optimizadas/V200_s.png,/imagenes/italika/motos/1_V200/optimizadas/V200.png,"4 Tiempos, monocilíndrico",200 CC,110 km/h,15 Hp @ 7500 RPM,16 N-m @ 5500 RPM,23.5 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 6 velocidades/por cadena,14 L,329 km,1 L,Aire forzado,Horquilla telescópica,Basculante MonoShock,Disco Sencillo,Disco Sencillo,100/80-R17,120/80-R17,2090 mm,865 mm,1205 mm,780 mm,150 kg,156 kg,,,,,,,,,,,,,
34002548,VX250EFI,ADVENTURE,"$97,103.00","$67,392.00",$905.00,Libertad sin fronteras,/imagenes/italika/motos/2_VX250/optimizadas/VX250_3_4_der.png,/imagenes/italika/motos/2_VX250/optimizadas/VX250_3_4_izq.png,/imagenes/italika/motos/2_VX250/optimizadas/VX250_s.png,/imagenes/italika/motos/2_VX250/optimizadas/VX250.png,"4 Tiempos, monocilíndrico 4 válvulas OHC",249.6 CC,135 km/h,24.8 Hp @ 9000 RPM,22.5 N-m @ 7000 RPM,25.5 km/L,Eléctrico,ECU (unidad de control de motor),Estándar de 6 velocidades/por cadena,15 L,382.5 km,1.5 C/cambio filtro -1.3 S/cambio de filtro,Líquido,Horquilla telescópica invertida,Basculante Mono Shock,Disco Sencillo,Disco Sencillo,100/90-R18,130/90-R15,,825 mm,1230 mm,895 mm,150 kg,175 kg,https://www.youtube.com/watch?v=iLp5VLuBsHQ&feature=emb_logo,/videos/italika/motos/02_VX250.mp4,Largo total  2080 mm,,,,,,,,,,
34004282,VOLTIUM BIKE,BICICLETA,"$21,666.00","$16,999.00",$225.00,Energía positiva,/imagenes/italika/motos/3_VoltiumBike/optimizadas/VoltiumBike_3_4_der.png,/imagenes/italika/motos/3_VoltiumBike/optimizadas/VoltiumBike_3_4_izq.png,/imagenes/italika/motos/3_VoltiumBike/optimizadas/VoltiumBike_s.png,/imagenes/italika/motos/3_VoltiumBike/optimizadas/VoltiumBike.png,Trasero de 36V250W,200 CC,25 km/h,,,,,,,,,,,,,,,,,1600 mm,580 mm,1100 mm,,90 kg,,https://www.youtube.com/watch?time_continue=8&v=dbGLYdS5q9w&feature=emb_logo,/videos/italika/motos/03_VoltiumBike.mp4,,7 Velocidades,35KM,4-6H 36V2A,Ion Litio,36V8.8 Ah,20,20,Aro de Aluminio c/rayos de acero,21 kg,993 mm
34004257,SPTFIRE200,CAFÉ RACER,"$36,332.00","$26,999.00",$315.00,Conviértete en leyenda,/imagenes/italika/motos/4_SPTFire200/optimizadas/SPTFire200_3_4_der.png,/imagenes/italika/motos/4_SPTFire200/optimizadas/SPTFire200_3_4_izq.png,/imagenes/italika/motos/4_SPTFire200/optimizadas/SPTFire200_s.png,/imagenes/italika/motos/4_SPTFire200/optimizadas/SPTFire200.png,"4 Tiempos, monocilíndrico",200 CC,107 km/h,15 Hp @ 8000 RPM,14.5 N-m @ 6000 RPM,27 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 5 velocidades/por cadena,16.2 L,437.4 km,1 L,Aire forzado,Horquilla telescópica,Basculante doble amortiguador,Disco Sencillo,Tambor,80/90-R17,120/70-R17,1920 mm,740 mm,1060 mm,780 mm,150 kg,109 kg,https://www.youtube.com/watch?time_continue=17&v=LL7Iv5qqNUc&feature=emb_logo,/videos/italika/motos/04_SPTFIRE200.mp4,,,,,,,,,,,
34003373,RC200,CHOPPER,"$36,999.00","$28,999.00",$321.00,Distinguete en el camino,/imagenes/italika/motos/5_RC200/optimizadas/RC200_3_4_der.png,/imagenes/italika/motos/5_RC200/optimizadas/RC200_3_4_izq.png,/imagenes/italika/motos/5_RC200/optimizadas/RC200_s.png,/imagenes/italika/motos/5_RC200/optimizadas/RC200.png,"4 Tiempos, monocilíndrico",200 CC,112 km/h,14.8 Hp @ 8000 RPM,14.5 N-m @ 6000 RPM,27 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 5 velocidades/por cadena,16 L,432 km,1 L,Aire forzado,Horquilla telescópica,Basculante con doble amortiguador,Disco sencillo,Tambor,3.00-R18,110/90-R16,1975 mm,790 mm,1100 mm,735 mm,150 kg,126 kg,,,,,,,,,,,,,
34004265,RC150,CHOPPER,"$31,332.00","$24,999.00",$302.00,Distinguete en el camino,/imagenes/italika/motos/6_RC150/optimizadas/RC150_3_4_der.png,/imagenes/italika/motos/6_RC150/optimizadas/RC150_3_4_izq.png,/imagenes/italika/motos/6_RC150/optimizadas/RC150_s.png,/imagenes/italika/motos/6_RC150/optimizadas/RC150.png,"4 Tiempos, monocilíndrico",149 CC,10 km/h,11.4 Hp @ 8500 RPM,10 N-m @ 6500 RPM,28 km/L,Eléctrico y de pedal,,Estándar de 5 velocidades/por cadena,15.5 L,434 km,1 L,,Horquilla telescópica,Basculante doble amortiguador,Disco Sencillo,Tambor,2.75-R18,110/90-R16,,840 mm,1101 mm,680 mm,150 kg,125 kg,,,Largo total  2100 mm,,,,,,,,,,
34004272,TC250,CHOPPER,"$50,666.00","$39,999.00",$535.00,Apodérate del camino,/imagenes/italika/motos/7_TC250/optimizadas/TC250_3_4_der.png,/imagenes/italika/motos/7_TC250/optimizadas/TC250_3_4_izq.png,/imagenes/italika/motos/7_TC250/optimizadas/TC250_s.png,/imagenes/italika/motos/7_TC250/optimizadas/TC250.png,"4 Tiempos, monocilíndrico",250 CC,110 km/h,17.8 Hp @ 8500 RPM,16.05 N-m @ 6500 RPM,24 km/L,Eléctrico y de pedal,,Estándar de 5 velocidades/por cadena,15 L,360 km,,,Horquilla telescópica,Basculante doble amortiguador,Disco Sencillo,Tambor,110/90-R16,130/80-R15,2260 mm,1000 mm,1180 mm,720 mm,150 kg,141 kg,https://www.youtube.com/watch?v=xdPtB9pdGCI&feature=emb_logo,/videos/italika/motos/07_TC250.mp4,,,,,,,,,,,
34004281,RC125,CHOPPER,"$27,221.00","$21,999.00",$264.00,Distinguete en el camino,/imagenes/italika/motos/8_RC125/optimizadas/RC125_3_4_der.png,/imagenes/italika/motos/8_RC125/optimizadas/RC125_3_4_izq.png,/imagenes/italika/motos/8_RC125/optimizadas/RC125_s.png,/imagenes/italika/motos/8_RC125/optimizadas/RC125.png,"4 Tiempos, monocilíndrico",124 CC,95 km/h,11.3 Hp @ 8500 RPM,11.60 N-m @ 8500 RPM,34 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 5 velocidades/por cadena,9.5 L,323 km,1 L,Aire forzado,Horquilla telescópica,Basculante doble amortiguador,Disco Sencillo,Tambor,2.75-R18,3.50-R16,1975 mm,770 mm,1150 mm,750 mm,150 kg,106 kg,,,,,,,,,,,,,
34002537,ATV250,CUATRIMOTOS,"$84,443.00","$69,999.00",$860.00,Diversión todo terreno,/imagenes/italika/motos/9_ATV250/optimizadas/ATV250_3_4_der.png,/imagenes/italika/motos/9_ATV250/optimizadas/ATV250_3_4_izq.png,/imagenes/italika/motos/9_ATV250/optimizadas/ATV250_s.png,/imagenes/italika/motos/9_ATV250/optimizadas/ATV250.png,"4 Tiempos, monocilíndrico",229.6 CC,80 km/h,14.8 Hp @ 7000 RPM,15.5 N-m @ 6000 RPM,19 km/L,Eléctrico/Tirón,CDI (Ignición por descarga de condensador),Semi-Automática de 5 velocidades c/reversa,12 L,228 km,1.8 L,Aire forzado y ventiladores,Doble amortiguador basculante,Basculante MonoShock,Disco Sencillo,Disco Sencillo,22x7-R10,20x10-R10,1800 mm,1200 mm,1000 mm,210 mm,220 kg,156 kg,https://www.youtube.com/watch?v=JHZnF1dRb8c&feature=emb_logo,/videos/italika/motos/09_ATV250.mp4,,,,,,,,,,,
34004227,ATV150,CUATRIMOTOS,"$47,777.00","$37,999.00",$467.00,Diversión todo terreno,/imagenes/italika/motos/10_ATV150/optimizadas/ATV150_3_4_der.png,/imagenes/italika/motos/10_ATV150/optimizadas/ATV150_3_4_izq.png,/imagenes/italika/motos/10_ATV150/optimizadas/ATV150_s.png,/imagenes/italika/motos/10_ATV150/optimizadas/ATV150.png,"4 Tiempos, monocilíndrico",149.6 CC,45 km/h,7.65 Hp @ 7500 RPM,7.5 N-m @ 5500 RPM,26.5 km/L,Eléctrico,CDI (Ignición por descarga de condensador),Automática/C/Reversa/por banda y cadena,7.5 L,189.7 km,.9 L,Aire forzado,Doble amortiguador basculante,Basculante Mono Shock,Tambor,Disco Sencillo,21x7-R10,20x10-R10,1700 mm,950 mm,1120 mm,760 mm,150 kg,150 kg,,,,,,,,,,,,,
